"Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"PāndnāmāPāndnāmā","

        The text in this volume is by Ch[S]ādék Āli who was born in 1205 BE (1798 CE). The author mentions his name in the text, which is written in the form of a discourse, in verse. He introduces the different elements of Islam as well as stories (Bayān) related to the Islamic world. One of these is the story of Hārun Raslub. The digital copy here is taken from a photocopy. The original volume measures 205mm x 142 mm. The main text runs from pages 1 to 202, and these are all that have been copied. The photocopy is missing pages 26, 27, 130, 131, 200 and 201.

                  
            
              
              View images from this file (196)
            
          
              ","EAP071/5/8","196 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"HushiārnāmāHushiārnāmā","

        The text here is a photocopy of a hand-copied version of the original, which was written by the famous poet Ch[S]ādék Āli (or Munsi Chādék Āli) who converted to Islam from Hinduism. It is a book on religion, warning people against deviating from the religious path. It discusses the Islamic conceptions of heaven and hell and the sun and moon, as derived from the Qur'an. It speaks of the gains to be derived from the complete surrender to Allah. It reflects the knowledge and the religious values that were being disseminated to the converted Muslims of the Sylhét region. The text is undated. The original volume measures 170mm x 107mm. The main text runs from pages 1-129 and these are all that have been copied. The photocopy is missing pages 2-7, 14-17, 24-33, 36-47, 50-51, 54-85, 88-91, 94-101, 104-105, 108-111, 114-117 and 120-127.

                  
            
              
              View images from this file (33)
            
          
              ","EAP071/5/9","33 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Bhéd Jahur [1918]Bhéd Jahur [1918]","

        Bhéd Johur is a religious text which deals with esoteric philosophy. It contains discussions on Sufism and various other secret ideas about Vaisnavism, Nātha and Sahajiyā cults. Significantly, while introducing these cults, the poet seeks the blessings of Saraswati, the Hindu goddess of learning. The text was completed by the author, Pir Mojir Uddin, on 3rd Jaistha 1325 Bengali Era (1918 Common Era). The digital copy here is taken from a photocopy. The photocopy is undated. The original volume measures 189mm x 138mm. The main text runs from pages 1-169 and these are all that have been copied.

                  
            
              
              View images from this file (169)
            
          
              ","EAP071/5/10","169 Tiff images","Manuscript","File","Bengali","Syloti Nagri","1918","Access is for research purposes only"
"Hālatunnabi","

        The Hālatunnabi is a very popular text in the Muslim community of Hāilākāndi in Āssām. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 Common Era)). It narrates, in 'Payār' and 'Tripodi' verse, the story of Creation and writes in detail the life of the prophet Muhammad and his ascension to heaven. It gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows his concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The original volume is printed and undated. It measures 203mm x 128mm. The main text is on pages 23-256 and this is all that has been copied, along with both sides of the front and back covers of the volume. The volume is missing pages 184 and 185 and the text is interrupted between pages 225 and 228 by blank pages with hand writting on them.

                  
            
              
              View images from this file (236)
            
          
              ","EAP071/6/1","236 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Spiritual Songs on Love and SeparationSpiritual Songs on Love and Separation","

        The text in this volume has no title and has been hand-copied. The initial lines are illegible. It is a compilation of spiritual songs on love and separation (from Allah). It depicts the devotion towards God using the metaphor of love. The first page of the text is written in mainstream Bengali script and the rest of the text is in the Sylhét Nāgri script. The original volume is hand written and undated. The borders and the contents of each page are in blue ink. The lines are ruled in red ink. The volume measures 244mm x 175mm. There are no page numbers. The main text is on pages 10-109 in the volume but only 47 pages have been copied.

                  
            
              
              View images from this file (49)
            
          
              ","EAP071/6/2","47 Tiff images","Manuscript","File","Bengali","Syloti Nagri, Bengali","19th century-20th century","Access is for research purposes only"
"Hajnāmā [1913]","

        Hajnāmā highlights the importance of practising 'haj', the pilgrimage to Mecca, as one of the most important rituals of Islam. The text aims to acquaint the rural masses with the ways of being a true Mussalman. By recounting the importance of performing 'haj', the text acts as an advice manual for pilgrims on 'haj' to Mecca. The author is given as Srīyukta Saha Ābdulla Sāheb. The volume was published by Srīyukta Hājī Oyāheb Sāheb and printed by the Srī Mahammad Ābdul Gani Srīhatta Islāmiā Press. This digital copy has been made from a photocopy. The original text is dated 1320 Bengali Era (1913 Common Era). The photocopy pages measure 130mm x 199mm. The main text is written on pages 1-36 and this is all that has been copied, along with the title page and preface at the front of the volume and the index and end page at the back of the volume.

                  
            
              
              View images from this file (40)
            
          
              ","EAP071/7/1","40 Tiff images","Manuscript","File","Bengali","Syloti Nagri","1913","Access is for research purposes only"
"Hasar Michil","

        'Hāsar' means 'resurrection' and 'michil' means 'system' or 'file of records'. The text is thus a metaphorical description of the day of judgement and resurrection. The original volume is printed and undated. It measures 218mm x 130mm and is covered with a white paper, stitched with brown thread. The main text is written on pages 1-43, and this is all that has been copied, along with the front cover of the volume and the last two pages, including an index. The last page is badly torn.

                  
            
              
              View images from this file (47)
            
          
              ","EAP071/8/1","47 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"OjunamājOjunamāj","

        Written by Munśi Ābdul Karim, the text provides the rituals associated with two (of the five) compulsory duties of a Mussalman - 'Oju' meaning ablution before prayers and 'Namāj[z]' being an offering of prayers. It emphasises the importance of cleanliness and personal hygiene to keep oneself pure. The rules of namāz and other religious observances are detailed. The author ridicules those who do not perform the rituals and who provide futile excuses. It relates all misfortunes - natural as well as material - to non-performance of rituals.  The original volume is printed and undated. It measures 215mm x 127mm and is covered with a brown paper. The title page is missing. The main text is written on pages 3-26 and this is all that has been copied, with images of the front and back cover.

                  
            
              
              View images from this file (26)
            
          
              ","EAP071/8/2","26 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"JamnāmāJamnāmā","

        Jamnāmā is a story of wars and battles. It is a popular text in the region of Cāchār in Āssām and is ritually read on the Muharram night. 'Jam' is a Persian word meaning 'battle' or 'war'. The text is thus a tale of battles. It is a narrative poem and recounts the battle of Kārbālā. The battle was fought between the grandsons of the Prophet Muhammad - Hāsān and Hussain on the one side and Éjid on the other. The text also contains songs, called 'Jāri' songs. On the night of Muharram, the community gets together to recite passages from the text and to sing the 'Jāri' songs. The significance of the text lies in its literary innovations and creativy in weaving a story of a distant land into one which rouses the spontaneous emotions of the listeners. The original volume is printed and undated. It measures 132mm x 219mm. It is bound by cardboard and wrapped in black cloth. The cover page is missing and the main text is written on pages 11-464. These pages are all that has been copied, along with images of the front and back covers.

                  
            
              
              View images from this file (459)
            
          
              ","EAP071/8/3","459 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"MohabbatnāmāMohabbatnāmā","

        The text is a romantic narrative poem depicting the adventurous love story of Hazrat Yusuf and J[z]ulékhā, a woman of peerless beauty. The core story is described in the Qur'an as 'Āhsānūl Kachach'. The version here is an adaptation of the work Mohabbatnāmā written in Persian by Maulānā Jamir. Originally written by Sadék Āli, it was reproduced by Muhammād Hatem Saheb, perhaps with some revision. The significance of the text lies in the fact that a theme borrowed from Persian tradition was thoroughly remodelled and rearranged in order to accommodate new as well as subtle regional, socio-cultural and aesthetic variations. The original volume is printed and undated. It measures 80mm x 143mm. It is wrapped in brown paper. The title page is missing and the main text is written on pages 11-80. These pages are all that has been copied along with images of the front and back covers.

                  
            
              
              View images from this file (74)
            
          
              ","EAP071/8/4","74 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"MohabbatnāmāMohabbatnāmā","

        The text is a romantic narrative poem depicting the adventurous love story of Hazrat Yusuf and J[z]ulékhā, a woman of peerless beauty. The core story is described in the Qur'an as 'Āhsānūl Kachach'. The version here is an adaptation of the work Mohabbatnāmā written in Persian by Maulānā Jamir. Originally written by Ch[S]ādék Āli, it was reproduced by Muhammād Hatem Saheb, perhaps with some revision. The significance of the text lies in the fact that a theme borrowed from Persian tradition was thoroughly remodelled and rearranged in order to accommodate new as well as subtle regional, socio-cultural and aesthetic variations. The original volume is printed and undated, although the name of the book and the date 04 April 1946 is written in black ink on page 17. It measures 125mm x 209mm. The title page is missing and the main text is written on pages 17-94. These pages are all that has been copied.

                  
            
              
              View images from this file (77)
            
          
              ","EAP071/8/5","77 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Harmuj Ālir GānHarmuj Ālir Gān","

        The title of this text means 'the songs of Śāh Harmuj Āli'. It is a collection of songs. Significantly, one of the songs describes the Khilāphat movement. Another verse is on 'Sajli Tarikā'. The text copied here is fragmented because of torn pages in the original. The original volume is printed and undated. It measures 127mm x 207mm. The main text is written on pages 11-50 and these are all that have been copied along with images of the front and back covers. The title page is missing.

                  
            
              
              View images from this file (44)
            
          
              ","EAP071/8/6","44 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hālatunnabi","

        Hālatunnabi is a popular text among the Muslim community of the region of Sylhét, Bāmlādéś. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 CE). It narrates in 'Payār' and 'Tripodi' verse the story of Creation and gives a detailed history of the life of the Prophet Muhammad and his ascension to heaven. It also gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows his concern for accuracy and refers to the Arabic and Persian texts on which he has based his narrative. The images in this file are scanned copies of a photocopy. The original volume measures 216mm x 133mm and is undated. The main text is written on pages 5-272 and this is all that has been copied.

                  
            
              
              View images from this file (270)
            
          
              ","EAP071/9/1","270 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Yusuf J[z]ulékha Mohabbatnāmā","

        The text is a romantic narrative poem depicting the adventurous love story of Hazrat Yusuf and J[z]ulékha, a woman of peerless beauty. The core story is described in the Qur'an as 'Āhsānūl Kachach'. The version here is an adaptation of the work Mohabbatnāmā written in Persian by Maulānā Jāmir. Originally written by Sādék Āli, it was reproduced by Muhāmmād Hatem Sahab, perhaps with some revision. The significance of the text lies in the fact that a theme borrowed from Persian tradition was thoroughly remodelled and rearranged in order to accommodate new as well as subtle regional socio-cultural and aesthetic variations. The original volume is covered with a newspaper ( The Statesman) dated 22 August 1914. It is likely that the volume was published before this date The original volume is printed and measures 180mm x 140mm. The title page is missing, and the main text is printed on pages 1-103. These pages are all that has been copied, along with the front and back covers.

                  
            
              
              View images from this file (104)
            
          
              ","EAP071/10/1","105 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Śitalāng Śaher Gān [1961]Śitalāng Śaher Gān [1961]","

        The songs in this volume deal with Sufi philosophy and show the development of Sufism in the region of Āssām. The author Śitalāng Śāh's original name was Muhammād Salimullāh. He assumed the name of Śitalāng Śāh when he renounced the world and became a Phakir (that is, a wanderer). Scholars suggest that Śitalāng Śāh was born between 1793 and 1799 and that he lived for more than 90 years. The original volume is hand written and dated to 1369 Bengali Era (1961 CE). It measures 280mm x 145mm. The text was copied by Hāji ĀBdul Āj[z]ij[z] and is written on pages 1-231. These pages are all that has been copied, along with the front and back covers.

                  
            
              
              View images from this file (235)
            
          
              ","EAP071/10/2","235 Tiff images","Manuscript","File","Bengali","Syloti Nagri","1961","Access is for research purposes only"
"Śitalāng Śahér GānŚitalāng Śahér Gān","

        The songs in this volume deal with Sufi philosophy and show the development of Sufism in the region of Āssām. The author Śitalāng Śāh's original name was Muhammād Salimullāh. He assumed the name of Śitalāng Śāh when he renounced the world and became a Phakir (that is, a wanderer). Scholars suggest that Śitalāng Śāh was born between 1793 and 1799 and that he lived for more than 90 years. The original volume is hand written in blue ink on white paper and dated to 1369 Bengali Era (1961 CE). It measures 50mm x 79mm. The text was copied by an unknown person. The text appears on pages 1-301 and this is all that has been copied, along with the front and back covers of the book.

                  
            
              
              View images from this file (307)
            
          
              ","EAP071/10/3","307 Tiff images","Book","File","Bengali","Syloti Nagri","1961","Access is for research purposes only"
"HālatunnabiHālatunnabi","

        Hālatunnabi is a popular text in the Muslim community of the region of Āssām. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 CE). It narrates, in 'Payār' and Tripodi' verse, the story of Creation and writes in detail the life of the Prophet Muhammad and his ascension to heaven. It also gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows his concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The original volume is undated. It was printed and measures 119mm x 222mm. The title page and pages 216 and 217 are missing from the original volume. The main text appears on pages 19-264 and this is all that has been copied, along with the front and back covers of the book.

                  
            
              
              View images from this file (254)
            
          
              ","EAP071/10/4","254 Tiff images","Manuscript","File","Bengali","Syloti Nagri","1853","Access is for research purposes only"
"Bayān QayāmatnāmāBayān Qayāmatnāmā","

        The text is essentailly a religious one dealing with the Day of Judgment or Qayāmat. It gives a detailed description of the angels and puts stress on the idea that human beings will be judged for their deeds in this world on the Day of Judgment. The philosophical elements in the text are narrated in a simple manner.  The original volume is hand written and undated. It measures 232mm x 164mm. The main text is written on pages 1-181, and this is all that has been copied, along with the front and back covers of the book.

                  
            
              
              View images from this file (182)
            
          
              ","EAP071/10/5","182 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Bārām JahurāBārām Jahurā","

        The text narrates a love story concerning a Prince called Bārām and Jahurā, the daughter of the King's minister. The contemporary society did not approve of this relationship and both had to face immense hurdles. Finally, however, the two cross the hurdles and get married. The text is a transliteration of the same story with the same title written in regular mainstream Bengali script.  The original volume is printed, except for the first 6 pages which have been hand written. It is undated and measures 134mm x 213mm. The main text is written on pages 1-140, and this is all that has been copied.

                  
            
              
              View images from this file (40)
            
          
              ","EAP071/10/6","40 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hālatunnabi","

        Hālatunnabi is a popular text in the muslim community of the region of Āssām. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 CE). It narrates, in 'Payār' and 'Tripodi' verse, the story of Creation, and writes in detail the life of the Prophet Muhammad and his ascension to heaven. It also gives a vivid description of hell.  The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The original volume is covered with plastic. It measures 120mm x 201mm. The text is undated and printed. The title page is missing, and the main text is printed on pages 3-272. These pages are all that has been copied, along with the front and back covers.

                  
            
              
              View images from this file (272)
            
          
              ","EAP071/11/1","272 Tiff images","Manuscript","File","Bengali","Syloti Nagri","1853","Access is for research purposes only"
"Mohabbatnāmā","

        The text is a romantic narrative poem depicting the adventurous love story of Hazrat Yusuf and J[z]ulékhā, a woman of peerless beauty. The core story is described in the Qur'an as 'Āhsānūl Kachach'. The text here is an adaptation of the work Mohabbatnāmā written in Persian by Maulānā Jamir. Originally written by Sādék Āli, it was reproduced by Muhammād Hatem Saheb, perhaps with some revision. The significance of the text lies in the fact that a theme borrowed from Persian tradition was thoroughly remodelled and rearranged in order to accommodate new as well as subtle regional, socio-cultural and aesthetic variation. The original volume is printed and measures 132mm x 216mm. It is undated. The title page is missing and the main text is printed on pages 1-95. These pages are all that have been copied, along with the front and back covers and what may be two advertisements found at the end of the book, one in Nāgri script and one in mainstream Bengali script, printed in red ink.

                  
            
              
              View images from this file (104)
            
          
              ","EAP071/11/2","104 Tiff images","Book","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Bārām Jahurā","

        The text narrates the love story of a Prince called Bārām and Jahūrā, the daughter of the King's minister. The contemporary society did not approve of this relationship and both had to face immense hurdles. Finally, however, the two cross the hurdles and get married. The text is a transliteration of the same story with the same title written in regular mainstream Bengali script. The original volume is printed and measures 137mm x 203mm. It is undated. The title page is missing and the main text is printed on pages 1-40. These pages are all that have been copied, along with the front and back covers.

                  
            
              
              View images from this file (44)
            
          
              ","EAP071/11/3","44 Tiff images","Manuscript","File","Bengali","Syloti Nagri","19th century-20th century","Access is for research purposes only"
"Hālatunnabi","

        Hālatunnabi is a popular text in the Muslim community of the region of Āssām. According to the poet, the text in manuscript form was completed in 1262 Bengali Era (1853 CE). It narrates, in 'Payār' and 'Tripodi' verse, the story of Creation and writes in detail the life of the Prophet Muhammad and his ascension to heaven. It also gives a vivid description of hell. The text reflects an expert handling of Islamic genealogical accounts. Significantly, the poet shows a concern for accuracy and refers to the Arabic and Persian texts on which he has based his narration. The text in this volume was written by Munsī Ch[S]ādék Āli. The volume was published by Srīyukta Hāji Ābdul Oyāhéd Sāhéb and printed by Srī Bénīmādhāb Bhattacārya. The original volume is dated 1906 CE (1313 Bengali Era). It measures 132mm x 226mm. The main text is printed on pages 1-280 and this is all that has been copied, along with the front cover.

                  
            
              
              View images from this file (288)
            
          
              ","EAP071/12/1","288 tiff images","Manuscript","File","Bengali","Syloti Nagri","1853","Access is for research purposes only"
