"","Page Title","Description","Reference","Extent","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"11","Syair Amdan Saqti 1","

        Text printed at 12 and 14 Baghdad Street, Singapore. Volume one of two. Gundal script. Physical characteristics of original material: Fairly good condition, pages darkened. Extent and format of original material: booklet, 80 folios. Owner of original material: Gnei Fathin Basiron (Abbas).

                  
            
              
              View images from this file (81)
            
          
              ","EAP609/2/2","81 TIFF images","File","Malay","Arabic","1928","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_2_2/1.jp2/full/!600,300/0/default.jpg"
"12","Syair Amdan Saqti 2","

        Text printed at 12 and 14 Baghdad Street, Singapore. Volume two of two. Begins on p. 81. Gundal script. Physical characteristics of original material: Fairly good condition, pages darkened. Extent and format of original material: booklet, 78 folios. Owner of original material: Gnei Fathin Basiron (Abbas).

                  
            
              
              View images from this file (83)
            
          
              ","EAP609/2/3","83 TIFF images","File","Malay","Arabic","1928","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_2_3/1.jp2/full/!600,300/0/default.jpg"
"13","Syair Siti Zubaidah Perang Cina","

        Includes list of additional books published in series. Back cover shows world map. Creation dates: 1920s? Gundal script. Physical characteristics of original material: Fairly good condition, pages darkened. Extent and format of original material: booklet, 333 folios. Owner of original material: Gnei Fathin Basiron (Abbas).

                  
            
              
              View images from this file (339)
            
          
              ","EAP609/2/4","339 TIFF images","File","Malay","Arabic","1920s","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_2_4/1.jp2/full/!600,300/0/default.jpg"
"14","Hikayat Maharaja Puspa Wiraja","

        Printed in Singapore, Kelly and Walsh Ltd Printers, 32, Raffles Place.The story is about a king and his wife, Kumala Kasna Devi, who after a dispute with his brother, left the kingdom. Their adventures are recorded and finally they are restored to their kingship. Gundal script. Physical characteristics of original material: Not very good condition. The cover, pages and spine are damaged. The pages are discoloured. Dimensions: L 21 W 14 H 0.5. There are hand written notes/commentaries on the margins. Extent and format of original material: book, 66 folios. Owner of original material: Gnei Fathin Basiron (Abbas).

                  
            
              
              View images from this file (72)
            
          
              ","EAP609/2/5","72 TIFF images","File","Malay","Arabic","1900","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_2_5/1.jp2/full/!600,300/0/default.jpg"
"15","Juragan Budiman","

        According to title page includes the Syair Juragan Budiman and Johar Manikam (perhaps in another volume). Hand written note in Malay on inner flap from 1940. Gundal script. Physical characteristics of original material: Fairly good condition. Pages discoloured. The cover is a late addition, relatively new. Extent and format of original material: book, 102 folios. Owner of original material: Gnei Fathin Basiron (Abbas).

                  
            
              
              View images from this file (105)
            
          
              ","EAP609/2/6","105 TIFF images","File","Malay","Arabic","1940","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_2_6/1.jp2/full/!600,300/0/default.jpg"
"16","Jawi Primer","

        Primer for teaching Malay writing (jawi/gundul) to beginners. Title page and aditional pages missing. This book was used by the owner’s mother to teach the children to read gundul. They were asked to read one page a night and present their lesson to the mother. Once they mastered the language through this book, they were given the longer hikayats to read. Creation dates: 1920s?. Physical characteristics of original material: New plastic cover added to the book. Attempts have been made to restore pages; the parts containing writing have been cut and pasted on new white pages. Pages are discoloured. Dimensions: L 21cm W 14.5 cm H 0.5. Extent and format of original material: booklet, 44 folios. Owner of original material: Gnei Fathin Basiron (Abbas).

                  
            
              
              View images from this file (52)
            
          
              ","EAP609/2/7","52 TIFF images","File","Malay","Arabic","1920s","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_2_7/1.jp2/full/!600,300/0/default.jpg"
"17","Java Lane 1876 Deed","

        Title deed of Masjidul Jamiah Jawatta Malay burial ground deed no. 4209 of 22.12.1876. Physical characteristics of original material: Some running ink, much of writing still clean, some holes in paper, some pages are very dark. Extent and format of original material: collated documents, 57 folios. Owner of original material: Java Lane Mosque.

                  
            
              
              View images from this file (60)
            
          
              ","EAP609/3/1","60 TIFF images","File","Sinhalese, English","Sinhala, Latin","1876","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_3_1/1.jp2/full/!600,300/0/default.jpg"
"18","Java Lane 1927 Deed","

        Documents related to election of Mosque trustees and the hereditary position of Mosque Katib. Physical characteristics of original material: A typewritten document with a black cover only at the back and held together by a pink ribbon. Fragile condition. Dimensions: L 34 W 21 H 0.5. Extent and format of original material: collated documents, 29 folios. Owner of original material: Java Lane Mosque.

                  
            
              
              View images from this file (42)
            
          
              ","EAP609/3/2","42 TIFF images","File","English","Latin","1927","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_3_2/1.jp2/full/!600,300/0/default.jpg"
"19","Kitab al-Awrad","

        Prayers to ward off various illnesses and other calamities. On title page there is a note in English: ""This Kitab Awrad was written by Baba Ounus Saldin, bin Kapitan Saldin, July 1904. Some of the material is in Gundal script. Physical characteristics of original material: Black cloth cover. Red and black ink used. Some notes in pencil. Dimensions: L 15 W 11 H 0.6. Note saying it was restitched and bound on 13 May 1954. Extent and format of original material: manuscript, 136 folios. Custodial history: The book belonged to Muhamed Muinaldeen (son of B.O. Saldin). There is a signature and date 5 August 1923. Translated into English by N.D. Carim of Wellawatte, 9 Feb 1946 (four pages in Carim’s handwriting found at the end, including a few notes in Tamil). Mrs Musafer received the book from her mother – Jamila Amith – who possibly got it from her grand-uncle. Originally belonged to her grandmother Tuan Safiya Akbar (B.O. Saldin’s daughter) and then to her (Mrs Musafer’s) mother, Jamila. Owner of original material: Narome Musafer.

                  
            
              
              View images from this file (143)
            
          
              ","EAP609/4/1","143 TIFF images","File","Malay, Arabic, English, Tamil","Arabic, Latin, Tamil","1904","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_4_1/1.jp2/full/!600,300/0/default.jpg"
"20","Subhana Maulud","

        Book in printed Arabic script. Some notes at the beginning and several handwritten pages at the end, with some English translation. A text recited on the anniversary of the Prophet Muhammad's birth. Creation dates: 1920s? Owner's name and the year 1923 are on the title page. Physical characteristics of original material: Beige hard cover with black writing and black lines. Dimensions: L 14.5 W 11.4 H 0.8. Extent and format of original material: book and notes, 93 folios. Custodial history: Mrs. Musafer’s mother received the book from Noorani Saldin, who was married to B.O. Saldin’s son, Muhammad Muinaldeen Saldin. Owner of original material: Narome Musafer.

                  
            
              
              View images from this file (96)
            
          
              ","EAP609/4/2","96 TIFF images","File","Arabic, English","Arabic, Latin","1920s","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_4_2/1.jp2/full/!600,300/0/default.jpg"
"21","Doa Selamat","

        Two hand written pages of a prayer in Arabic titled Doa Selamat. Note in English: ""for any celebration duwa salamath"". Physical characteristics of original material: Edges a bit frayed. Dimensions: L 28 W 20.5. Extent and format of original material: two folios. Custodial history: Mrs Musafer’s mother received the pages from Noorani Saldin, who was married to B.O. Saldin’s son, M.M. Saldin. Owner of original material: Narome Musafer.

                  
            
              
              View images from this file (2)
            
          
              ","EAP609/4/3","2 TIFF images","File","Arabic, English","Arabic, Latin","20th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_4_3/1.jp2/full/!600,300/0/default.jpg"
"22","Dendang Sayang Pantun Selong","

        Printed booklet with poems in Sri Lankan Malay. Printed by A.H Greasy at no. 87 Albion Road Dematagoda Colombo, no date. M.M Saldin signature dated 23.5.1954 on first page. Physical characteristics of original material: Small booklet, pages stapled together. Extent and format of original material: booklet, 14 folios. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (18)
            
          
              ","EAP609/5/1","18 TIFF images","File","Arabic","Arabic, Latin","1950s?","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_1/1.jp2/full/!600,300/0/default.jpg"
"23","Kitab al-Awrad","

        Handwritten booklet of various prayers and recitations, most in Arabic followed by an English translation. Physical characteristics of original material: Brown cover. Dimensions: L 13 W 11 H 0.4. Extent and format of original material: handwritten booklet, 48 folios. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (52)
            
          
              ","EAP609/5/2","52 TIFF images","File","Arabic, English, Malay","Arabic, Latin","1936","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_2/1.jp2/full/!600,300/0/default.jpg"
"24","Kitab Ratib","

        Handwritten notebook with various prayers, recitations, list of God's names in Arabic and mostly translated into English, some line by line. Physical characteristics of original material: Small book, paper very brown. Dimensions:L.16 W 10 H 0.6. Extent and format of original material: handwritten notebook, 90 folios. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (92)
            
          
              ","EAP609/5/3","92 TIFF images","File","Arabic, English, Malay","Arabic, Latin","1939","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_3/1.jp2/full/!600,300/0/default.jpg"
"25","Maulud al-Nabi Sharaf al-Anam","

        A well known maulud, recited on the anniversary of the Prophet's birth. Includes interlinear translation from Arabic into Malay. Very unusually, first two and final two pages illuminated with geometrical designs, leaves and flowers in red and green. Creation date: 1892 (1309 Hijri). Physical characteristics of original material: Very fragile. Pages falling out at center, binding loosely connected. Dimensions: L 15 W 10 H 0.6. Extent and format of original material: bound manuscript, 110 folios. Custodial history: First page has note that the book was presented to M.M Saldin by maternal grandfather in 1910. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (114)
            
          
              ","EAP609/5/4","114 TIFF images","File","Arabic, Malay","Arabic","1892","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_4/1.jp2/full/!600,300/0/default.jpg"
"26","Subhan Mauludum Afurudum","

        Hand written manuscript, belonged to Baba Ounus Saldin. English note on title page attributes content to Imam Ghazzali. First text is a maulud. Second text begins on page 288, in Arabu-Tamil. Some text in Gundal. Physical characteristics of original material: Binding falling apart. Pages falling from center. Red leather binding. Has B.O Saldin stamp on first page. Dimensions: L 21 W 14 H 4. Extent and format of original material: bound manuscript, 453 folios. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (462)
            
          
              ","EAP609/5/5","462 TIFF images","File","Arabic, Malay, English","Arabic, Latin","1856","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_5/1.jp2/full/!600,300/0/default.jpg"
"27","Syair Faid al-Abad","

        A poem by Baba Ounus Saldin printed in Colombo in 1903. Includes sections on the military history of the Malays in Ceylon, mystical teachings, and a brief section on the prophets. Some text in Gundal. Physical characteristics of original material: Good condition. Title page printed in red. Dimensions: L 18 W 13.5 H 0.5. Extent and format of original material: printed book, 52 folios. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (61)
            
          
              ","EAP609/5/6","61 TIFF images","File","Malay","Arabic","1903","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_6/1.jp2/full/!600,300/0/default.jpg"
"28","Sa'ir Siti Zawiyah atau Isteri yang Setia","

        A poem of advice for women and men. Written by Toean Raja Moeara Siregar. Title page declared that the text may not be used for wayang without permission. Hand written note by M.M Saldin that the book was brought from Singapore in 1935. Note in Gundal script. Physical characteristics of original material: Front cover is red. Good condition. Dimensions: L 16.5 W 10.5 H 0.5. Extent and format of original material: printed book, 67 folios. Custodial history: Hand written note by M.M Saldin that the book was brought from Singapore in 1938 by Enchi Salim bin Tenku Satthi Abu Bucku. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (74)
            
          
              ","EAP609/5/7","74 TIFF images","File","Malay","Latin","1935","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_7/1.jp2/full/!600,300/0/default.jpg"
"29","Kitab Maulud","

        A maulud manuscript in Arabic, written in black and red ink. Notes in Malay and English. Physical characteristics of original material: Very fragile, binding falling apart. Dimensions: L 10.5 W 8.5 H 1. Extent and format of original material: manuscript, 161 folios. Custodial history: Inner flap has note handwritten by M.M Saldin on 8.3.1946: ""This Maulud Kitab must have been written in the year 1865. This belonged to a private in the 7th Company of the Ceylon Rifle Regiment."" Note towards the end indicates the book belonged to the son of Hannan ibnu Nashar bin Dur of Kandy. On final page, in Gundul: this book belongs to Private Dulhamid 7th Company Ceylon Rifel Regiment. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (168)
            
          
              ","EAP609/5/8","168 TIFF images","File","Arabic, English","Arabic, Latin","1865?","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_8/1.jp2/full/!600,300/0/default.jpg"
"30","Kitab Sembahyang serta Ma'ana","

        Manuscript written by Baba Ounus Saldn in Kampung Pangeran, Colombo in Rabi'a al Awal 1316 (1899). Meditations on prayer and its meanings, various recitations for different occasions. Some of the pages include Arabic texts with interlinear Malay translation. Toward end notes by various hands. Contains prayer for slaughter. Dated July 1950. Physical characteristics of original material: Good condition, red and black ink. Dimensions: L 21 W 14 H 1.5. Extent and format of original material: manuscript, 197 folios. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (204)
            
          
              ","EAP609/5/9","204 TIFF images","File","Arabic, Malay, English","Arabic, Latin","1899","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_9/1.jp2/full/!600,300/0/default.jpg"
"31","Doa 'Ashura","

        Handwritten note pad found inside Kitab Sembahyang serta Ma'ana. Include Doa 'Ashura and Talqin. Arabic with Malay interlinear translation. Note in English. Physical characteristics of original material: Ink running through pages. Dimensions: L 21 W 14 H 2. Extent and format of original material: handwritten notes, 9 folios. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (20)
            
          
              ","EAP609/5/10","20 TIFF images","File","Arabic, Malay, English","Arabic, Latin","Early 20th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_10/1.jp2/full/!600,300/0/default.jpg"
"32","Tarjamat Ratib al-Hadad","

        Printed book of various surahs from the Qur'an and the translation of Ratib al-Hadad into Arabu-Tamil. Note in English. Published 1913 in Colombo. Physical characteristics of original material: Pages darkened. Dimensions: L 16.5 W 12 H 0.8. Extent and format of original material: book, 161 folios. Custodial history: Note in M.M Saldin's hand from July 1923. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (170)
            
          
              ","EAP609/5/11","170 TIFF images","File","Arabic, English","Arabic, Latin","1923?","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_11/1.jp2/full/!600,300/0/default.jpg"
"33","Qasidat al-Burdah","

        An anthology of Arabic poems ""about the Prophet and the faith of Islam,"" including the famous poem by al-Busari, ""well known as The Poem of the Scarf."" With an English version and notes by Shaikh Faizullah-Bh'ai. Printed at the Education Society's Steam Press, Bombay. two pages of handwritten Arabic verses with English translation added at volume's end. Physical characteristics of original material: Inner cover says “rebound by me 1932” and “MM Saldin”. Dimensions: L 22 W 14 H 0.7. Extent and format of original material: book, 50 folios. Custodial history: Owner thinks the book was brought to her father M.M Saldin from Singapore. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (56)
            
          
              ","EAP609/5/12","56 TIFF images","File","Arabic, English","Arabic, Latin","1893","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_12/1.jp2/full/!600,300/0/default.jpg"
"34","Notes on Typography","

        A bound notebook. On first page: Notes on typography,"" M.M Saldin's signature and date: 26.5.1914. Physical characteristics of original material: Brown cover, a bit torn. Dimensions: L 17.5 W 12 H 1. Extent and format of original material: notebook, 92 folios. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (96)
            
          
              ","EAP609/5/13","96 TIFF images","File","English","Latin","1914","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_13/1.jp2/full/!600,300/0/default.jpg"
"35","Muhiudin Maulud","

        A Maulud in honor of Sheikh Muhiudin, the title commonly used in South India and elsewhere for Shaikh Abdul Qadir Jailani. Some Arabic verses with English translation handwritten after final pages of printed text. Some text in Arabu-Tamil. Physical characteristics of original material: Blue book with green Arabic writing on beige cover. Condition good. Dimensions: L 12 W 8.5 H 0.9. Extent and format of original material: book, 125 folios. Custodial history: Inside flap has note from 8.5.1952 “stitched and bound by me” signed by M.M Saldin. Next page has hand written note in Arabu-Tamil that the Maulud belonged to Sheikh Mahmud al-Qadiri (previous owner?). Another note by M.M Saldin on inner flap: “next to mosque Mohammaden Kitab Depot, 2nd Cross St. Pettah,"" perhaps the shop where he purchased the book. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (128)
            
          
              ","EAP609/5/14","128 TIFF images","File","Arabic, English","Arabic, Latin","20th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_14/1.jp2/full/!600,300/0/default.jpg"
"36","Surat al-Yasin","

        The surat al-Yasin handwritten in Arabic by B.O. Saldin. Note by M.M. Saldin stating that the whole kitab was written by his late father found on first page. Some additional verses with English translation at the end. Physical characteristics of original material: Blue cover. Dimensions: L 10 W 6.5 H 0.5. Extent and format of original material: manuscript, 58 folios. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (44)
            
          
              ","EAP609/5/15","44 TIFF images","File","Arabic, English","Arabic, Latin","1901","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_15/1.jp2/full/!600,300/0/default.jpg"
"37","M.M Saldin Notes","

        Handwritten notes by M.M Saldin. Several prayers, including Doa Selamat and Nisf Sha'aban. Found inside Kitab Sembahyang serta Ma'ana. Creation dates: 1920s?. Physical characteristics of original material: Pages darkened. Extent and format of original material: notes, 17 folios. Owner of original material: Jayarine Sukanti Iyne.

                  
            
              
              View images from this file (21)
            
          
              ","EAP609/5/16","21 TIFF images","File","Arabic, Malay","Arabic, Latin","1920s","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_5_16/1.jp2/full/!600,300/0/default.jpg"
"38","Mohammed Farzeen Nasoordeen","

        A photocopy of a letter of discharge from the Ceylon Regiment of Riflemen presented to Cader Habib Nassar who enlisted in 1850 when he was eighteen years old. The letter is dated Obtober 20, 1871. Physical characteristics of original material: A 2-page letter, typewritten on a manual typewriter. Photocopied on both sides. Extent and format of original material: letter, 2 folios. Custodial history: Mr. Nassar was the great grandfather of Mr. Nasoordeen, present owner of the document. The document was found by his brother inside an old book. Owner of original material: Mohammed Farzeen Nasoordeen.

                  
            
              
              View images from this file (2)
            
          
              ","EAP609/6/1","2 TIFF images","File","English","Latin","1871","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_6_1/1.jp2/full/!600,300/0/default.jpg"
"39","Dendang Sayang Pantun Selong","

        Printed booklet with poems in Sri Lankan Malay, cover missing and possibly several pages. Same as printed edition by A.H Greasy at no. 87 Albion Road Dematagoda Colombo, no date. Dr. Drahman's signature dated 1953. Physical characteristics of original material: Cover missing, pages stained with oil. Extent and format of original material: booklet, 12 folios. Custodial history: Booklet belonged to Mrs. Mohamed's late father, Dr. Drahaman, who represented the Malays as a Member of the Legislative Council (1956-1960). Owner of original material: Kartini Mohamed.

                  
            
              
              View images from this file (12)
            
          
              ","EAP609/7/1","12 TIFF images","File","Malay","Latin","1950s?","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_7_1/1.jp2/full/!600,300/0/default.jpg"
"40","Pantun Lagu Sayang","

        Two pages of poems (pantuns) in Sri Lankan Malay, composed by the late Mr. Haniz. Physical characteristics of original material: Two A4 papers. The first one has 3 horizontal panels – 2 panels on either side handwritten, one in the middle is typewritten. Second document has a pantun with an English translation. Extent and format of original material: 2 folios. Custodial history: Document was given to Mrs. Mohamed for safeguarding by Mr Packeerally. Mr Packeerally was given the document by Mr. Haniz, who wrote the pantun. Mr. M.I.Haniz had a pantun school in Hunupitiya. Owner of original material: Mr. Packeerally.

                  
            
              
              View images from this file (2)
            
          
              ","EAP609/7/2","2 TIFF images","File","Malay, English","Latin","20th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_7_2/1.jp2/full/!600,300/0/default.jpg"
"41","Ceylon Malay Research Organisation (CEMRO) News Souvenir 1970","

        This is an annual newsletter/souvenir published by CEMRO, a social service organisation spearheaded by Murad Jayah, Husain Jayah’s father. The souvenirs contain an editorial, articles of interest to the Sri Lanka Malay community about fellow Sri Lankan Malays or Malays abroad, annual reports of CEMRO’s activities, and photos of such activities. Also contain many advertisements. Physical characteristics of original material: One small section eaten by silverfish, but otherwise in reasonably good condition. Dimensions: L 24.5 W 19 H 0.2. Extent and format of original material: newsletter, 51 folios. Custodial history: Inherited from Husain Jayah's father, Mr. Murad Jayah. Owner of original material: Husain Jayah.

                  
            
              
              View images from this file (52)
            
          
              ","EAP609/8/1","52 TIFF images","File","English","Latin","1970","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_8_1/1.jp2/full/!600,300/0/default.jpg"
"42","CEMRO News Souvenir 1973","

        This is an annual newsletter/souvenir published by CEMRO, a social service organisation spearheaded by Murad Jayah, Husain Jayah’s father. The souvenirs contain an editorial, articles of interest to the Sri Lanka Malay community about fellow Sri Lankan Malays or Malays abroad, annual reports of CEMRO’s activities, and photos of such activities. Also contain many advertisements. Physical characteristics of original material: Dimensions: L 24.5 W 19 H 0.2. Extent and format of original material: newsletter, 110 folios. Custodial history: Inherited from Husain Jayah's father, Mr. Murad Jayah. Owner of original material: Husain Jayah.

                  
            
              
              View images from this file (110)
            
          
              ","EAP609/8/2","110 TIFF images","File","English","Latin","1973","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_8_2/1.jp2/full/!600,300/0/default.jpg"
